date,steps,distance_m,calories,steps_id
1970-02-10,93,,,3a51ddb3db340627
1970-02-10,22,,,36f6dfba41939907
1970-02-10,143,,,f445ecf6f36567fe
1970-02-10,1961,,,3a51ddb3db340627
1970-02-10,266,,,f445ecf6f36567fe
1970-02-10,2092,,,c409ee930c1e51d9
1970-02-10,1967,,,3a51ddb3db340627
1970-02-10,159,,,f445ecf6f36567fe
1970-02-10,2099,,,c409ee930c1e51d9
1970-02-10,153,,,3a51ddb3db340627
1970-02-10,58,,,f445ecf6f36567fe
1970-02-10,166,,,c409ee930c1e51d9
1970-02-10,64,,,3a51ddb3db340627
1970-02-10,1787,,,3a51ddb3db340627
1970-02-10,117,,,f445ecf6f36567fe
1970-02-10,1894,,,c409ee930c1e51d9
1970-02-10,34,,,f445ecf6f36567fe
1970-02-10,132,,,c409ee930c1e51d9
1970-02-10,22,,,c409ee930c1e51d9
1970-02-10,18,,,36f6dfba41939907
1970-02-10,18,,,c409ee930c1e51d9
1970-02-10,2112,,,c409ee930c1e51d9
1970-02-10,102,,,3a51ddb3db340627
1970-02-10,2052,,,3a51ddb3db340627
1970-02-10,60,,,3a51ddb3db340627
1970-02-10,31,,,3a51ddb3db340627
1970-02-10,1,,,3a51ddb3db340627
1970-02-10,361,,,c409ee930c1e51d9
1970-02-10,25,,,c409ee930c1e51d9
1970-02-10,2043,,,c409ee930c1e51d9
1970-02-10,2014,,,3a51ddb3db340627
1970-02-10,23,,,f65e0d95471c9549
1970-02-10,56,,,f65e0d95471c9549
1970-02-10,347,,,f65e0d95471c9549
1970-02-10,8,,,3a51ddb3db340627
1970-02-10,202,,,3a51ddb3db340627
1970-02-10,44,,,3a51ddb3db340627
1970-02-10,126,,,3a51ddb3db340627
1970-02-10,61,,,f65e0d95471c9549
1970-02-10,107,,,3a51ddb3db340627
1970-02-10,244,,,f65e0d95471c9549
1970-02-10,245,,,c409ee930c1e51d9
1970-02-10,1910,,,c409ee930c1e51d9
1970-02-10,47,,,c409ee930c1e51d9
1970-02-10,2295,,,3a51ddb3db340627
1970-02-10,324,,,c409ee930c1e51d9
1970-02-10,1886,,,3a51ddb3db340627
1970-02-10,295,,,f65e0d95471c9549
1970-02-10,3,,,f65e0d95471c9549
1970-02-10,52,,,f65e0d95471c9549
1970-02-10,105,,,c409ee930c1e51d9
1970-02-10,22,,,f65e0d95471c9549
1970-02-10,98,,,c409ee930c1e51d9
1970-02-10,59,,,c409ee930c1e51d9
1970-02-10,8,,,3a51ddb3db340627
1970-02-10,319,,,c409ee930c1e51d9
1970-02-10,24,,,f65e0d95471c9549
1970-02-10,10,,,c409ee930c1e51d9
1970-02-10,11,,,c409ee930c1e51d9
1970-02-10,2,,,3a51ddb3db340627
1970-02-10,59,,,f65e0d95471c9549
1970-02-10,59,,,c409ee930c1e51d9
1970-02-10,2,,,3a51ddb3db340627
1970-02-10,2136,,,3a51ddb3db340627
1970-02-10,2278,,,c409ee930c1e51d9
1970-02-10,317,,,f65e0d95471c9549
1970-02-10,24,,,f65e0d95471c9549
1970-02-10,344,,,3a51ddb3db340627
1970-02-10,62,,,c409ee930c1e51d9
1970-02-10,47,,,f65e0d95471c9549
1970-02-10,24,,,c409ee930c1e51d9
1970-02-10,18,,,3a51ddb3db340627
1970-02-10,2183,,,3a51ddb3db340627
1970-02-10,2211,,,c409ee930c1e51d9
1970-02-10,254,,,f65e0d95471c9549
1970-02-10,56,,,f65e0d95471c9549
1970-02-10,255,,,c409ee930c1e51d9
1970-02-10,130,,,3a51ddb3db340627
1970-02-10,94,,,f65e0d95471c9549
1970-02-10,38,,,f65e0d95471c9549
1970-02-10,0,,,f65e0d95471c9549
1970-02-10,89,,,f65e0d95471c9549
1970-02-10,51,,,f65e0d95471c9549
1970-02-10,0,,,c409ee930c1e51d9
1970-02-10,251,,,3a51ddb3db340627
1970-02-10,231,,,3a51ddb3db340627
1970-02-10,2294,,,3a51ddb3db340627
1970-02-10,447,,,c409ee930c1e51d9
1970-02-10,412,,,f65e0d95471c9549
1970-02-10,1911,,,3a51ddb3db340627
1970-02-10,1912,,,c409ee930c1e51d9
1970-02-10,202,,,f65e0d95471c9549
1970-02-10,173,,,3a51ddb3db340627
1970-02-10,1890,,,3a51ddb3db340627
1970-02-10,5,,,3a51ddb3db340627
1970-02-10,175,,,f65e0d95471c9549
1970-02-10,30,,,c409ee930c1e51d9
1970-02-10,0,,,3a51ddb3db340627
1970-02-10,18,,,f65e0d95471c9549
1970-02-10,30,,,f65e0d95471c9549
1970-02-10,2,,,3a51ddb3db340627
1970-02-10,1895,,,3a51ddb3db340627
1970-02-10,18,,,c409ee930c1e51d9
1970-02-10,1979,,,c409ee930c1e51d9
1970-02-10,117,,,f65e0d95471c9549
1970-02-10,1949,,,c409ee930c1e51d9
1970-02-10,2085,,,c409ee930c1e51d9
1970-02-10,12,,,f65e0d95471c9549
1970-02-10,12,,,c409ee930c1e51d9
1970-02-10,53,,,f65e0d95471c9549
1970-02-10,2,,,c409ee930c1e51d9
1970-02-10,171,,,f65e0d95471c9549
1970-02-10,167,,,c409ee930c1e51d9
